번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
93,서대전육교,12,중구,유천동 186-7,36.31894,127.400393,4구역,,,평면,일자형
94,미리내아파트,12,동구,판암동 451-10,36.316962,127.454608,5구역,,,평면,일자형
95,판암역 2번출구,12,동구,판암동 323-2,36.316705,127.458342,5구역,,,평면,일자형
96,판암역 4번출구,12,동구,판암동 303-25,36.317217,127.45905,5구역,,,평면,일자형
97,가오고등학교,11,동구,가오동 465,36.310388,127.455611,5구역,,2,평면,일자형
98,은어송마을입구,12,동구,가오동 217-4,36.305423,127.454544,5구역,,,평면,일자형
99,홈플러스 가오점(건너편),13,동구,가오동 644,36.306694,127.456829,5구역,,,평면,일자형
100,홈플러스 가오점,12,동구,가오동 552,36.306988,127.457129,5구역,,,평면,일자형
101,은어송마을4단지,12,동구,가오동 555,36.310061,127.461458,5구역,,,평면,일자형
102,은어송마을2단지,9,동구,대성동 130-1,36.303717,127.457698,5구역,,,평면,일자형
103,대전남부여성가족원,15,동구,가오동 559-1,36.302116,127.459836,5구역,,,평면,일자형
104,국립중앙과학관,10,유성구,가정동 54-4,36.375206,127.378122,2구역,,,평면,일자형
105,카이스트 서쪽 쪽문,15,유성구,구성동 23,36.364177,127.358845,2구역,,,평면,일자형
106,카이스트 다솜관,15,유성구,구성동 23,36.367989,127.356852,2구역,,,평면,십일자형
107,카이스트 세종관,15,유성구,구성동 23,36.370768,127.366645,2구역,,,평면,일자형
108,목원대학교 입구,15,유성구,용계동 664-4,36.331955,127.337932,3구역,,1,평면,일자형
109,서부농협본점,15,서구,탄방동 1455,36.342378,127.387671,1구역,,,평면,일자형
110,용문네거리(용문역 3번출구),9,서구,용문동 594-10,36.337569,127.392091,4구역,,,평면,일자형
111,순복음교회(수침교),13,서구,용문동 249-11,36.335726,127.396603,4구역,,,평면,일자형
112,나르메아파트 길건너,15,서구,가장동 45-8,36.331931,127.385353,4구역,,,평면,일자형
113,가장교(성은사),13,서구,가장동 31-7,36.328502,127.388001,4구역,,,평면,일자형
114,태평동성당,13,중구,태평동 346-1,36.329742,127.396777,4구역,,,평면,일자형
115,한전 대전세종충남지역본부(건너편),13,동구,용전동 45-1       ,36.357491,127.434317,6구역,,,기둥형,일자형
116,홈플러스(동대전점),13,동구,용전동 51-17      ,36.355236,127.436793,6구역,,,기둥형,일자형
117,동부네거리,13,동구,용전동 111-26     ,36.350657,127.440408,6구역,,,기둥형,일자형
118,복합터미널,13,동구,용전동 143-16     ,36.348576,127.435076,6구역,,,혼합형,일자형
119,용전동 천주교회,13,동구,용전동 144-1      ,36.34952,127.432759,6구역,,,평면,일자형
120,한국통신 용전지점,13,동구,용전동 167-20     ,36.353089,127.43219,6구역,,,평면,일자형
121,용전네거리(하나은행),12,동구,용전동 44-2       ,36.347143,127.431512,6구역,,,평면,일자형
122,한남대후문 입구,13,대덕구,중리동 231-5      ,36.358613,127.42269,6구역,,2,평면,일자형
123,대덕경찰서,12,대덕구,문평동 83-2,36.446304,127.406676,7구역,,,기둥형,일자형
124,목상동주민센터,12,대덕구,목상동 185-1,36.448472,127.412412,7구역,,,기둥형,일자형
125,엑슬루타워,10,대덕구,석봉동 336,36.449253,127.420131,7구역,,,기둥형,일자형
126,신탄진동주민센터,10,대덕구,신탄진동 120-1,36.451985,127.42887,7구역,,,기둥형,일자형
127,신탄진역,13,대덕구,신탄진동 147-6,36.448623,127.429218,7구역,,,기둥형,일자형
128,과선교버스정류장,13,대덕구,평촌동 264-64,36.443026,127.429476,7구역,,,기둥형,일자형
129,신탄진고네거리,12,대덕구,신탄진동 149-6,36.448584,127.435822,7구역,,,기둥형,일자형
130,용정초등학교,13,대덕구,신탄진동 52-1,36.454126,127.436877,7구역,,,기둥형,일자형
131,에코공원,12,대덕구,신탄진동 산1-7,36.448772,127.444365,7구역,,,기둥형,일자형
132,삼정삼거리,13,대덕구,삼정동 산27-4,36.449611,127.456706,7구역,,,기둥형,일자형
133,오룡역 7번출구,13,중구,용두동 113-12,36.328727,127.405846,4구역,,,기둥형,일자형
134,중도일보,8,중구,오류동 175-3,36.326058,127.407828,4구역,,,기둥형,일자형
135,서대전역네거리,13,중구,오류동 168-7,36.320688,127.405947,4구역,,,기둥형,일자형
136,중구청역 1번출구(중구청의회),13,중구,대흥동 499-1,36.325652,127.420844,5구역,,,평면,일자형
137,센트럴파크(302동),12,중구,문화동 1-256,36.31838,127.411655,4구역,,,기둥형,꺽인형
138,센트럴파크(105동),13,중구,문화동 284-168,36.316476,127.407345,4구역,,,평면,일자형
139,서대전네거리역 3번출구,13,중구,오류동 152-5,36.322248,127.411462,4구역,,2,기둥형,일자형
140,대전시민대학 정문,16,중구,선화동 287-2,36.32759,127.420855,5구역,,,기둥형,일자형
141,대전세무서,13,중구,선화동 184-1,36.330883,127.419077,5구역,,,기둥형,일자형
142,선화참좋은아파트(유안타증권),13,중구,선화동 83-1,36.331535,127.422493,5구역,,,기둥형,일자형
143,중앙로역 3번출구,13,중구,대흥동 198-1,36.327826,127.426281,5구역,,2,기둥형,일자형
144,타슈 관제센터,11,유성구,원촌동 76-1,36.388966,127.409699,6구역,,,기둥형,꺽인형
145,도안 호반베르디움(201동),13,유성구,봉명동 972,36.349006,127.347529,3구역,,,평면,십일자형
146,도안 호반베르디움(101동),13,서구,가수원동 394,36.311886,127.346868,3구역,,,평면,십일자형
147,도안 계룡리슈빌(1704동),13,서구,도안동 1370,36.316395,127.345216,3구역,,,평면,일자형
148,도안 금성백조(701동),13,유성구,봉명동 1038-1,36.348233,127.344519,3구역,,,평면,십일자형
149,도안 트리풀시티5단지(509동),13,유성구,상대동 495,36.345701,127.338892,3구역,,,평면,일자형
150,도안 우미린(1806동),13,서구,가수원동 1363,36.312414,127.349936,3구역,,,평면,꺽인형
151,우송대 정문(건너편),14,동구,자양동 58-12,36.337017,127.447794,6구역,,2,평면,일자형
152,대전역(대한통운 맞은편),12,동구,정동 15-23,36.33222,127.432054,5구역,,2,평면,일자형
153,대동역 4번출구,13,동구,대동 148-112 ,36.329613,127.442446,5구역,,,평면,일자형
154,한남오거리,13,대덕구,오정동 731,36.347978,127.416389,1구역,,,평면,일자형
155,오정동 운암빌딩,12,대덕구,오정동 61-13 ,36.358455,127.411245,1구역,,,평면,일자형
156,중촌네거리(목동우체국 방면),13,중구,중촌동 398-14,36.33596,127.414904,5구역,,,평면,일자형
157,중촌초등학교(건너편),12,중구,중촌동 462,36.340677,127.410626,5구역,,2,평면,일자형
158,전자통신연구원,12,유성구,가정동 160-2 ,36.383768,127.367154,7구역,,,평면,일자형
159,연구단지네거리,13,유성구,도룡동 393-2 ,36.385478,127.376913,7구역,,,평면,일자형
160,연구단지운동장(건너편),11,유성구,신성동 108-2,36.385521,127.353928,7구역,,,평면,일자형
161,연구단지 KT_G(건너편),12,유성구,신성동 산19-3 ,36.384695,127.348674,7구역,,,평면,일자형
